Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#CRAFTABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_buildable_complete,,loaded,zmb\buildable\complete\zmb_build_completed.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,45,0,82,82,150,300,750,allon,default,allon,default,3,oldest,8,oldest,-20,20,65,70,0,1,no,3d,default,,nonlooping,,1,0,100,300,98,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_buildable_inv_in,,loaded,mpl\equipment_fly\fly_pick_up_equip.wav,,,,,,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,0,77,77,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,95,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_buildable_inv_out,,loaded,mpl\equipment_fly\fly_pick_up_equip.wav,,,,,,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,0,77,77,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,95,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_buildable_loop,,streamed,zmb\buildable\loop\zmb_building_lp.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,45,0,80,80,150,300,750,allon,default,allon,default,3,oldest,8,oldest,-20,20,65,70,0,1,no,3d,default,,looping,,1,0,100,300,98,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,250,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_buildable_pickup,,loaded,fly\pickups\ammo\fly_ammo_pickup_01.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,45,0,85,85,150,300,750,allon,default,allon,default,3,oldest,8,oldest,-20,20,65,70,0,1,no,3d,default,,nonlooping,,1,0,100,300,98,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_buildable_pickup_complete,,loaded,fly\pickups\grenade\fly_grenade_pickup_00.wav,,,,,,,,BUS_HDRFX,grp_hdrfx,snp_hdrfx,,10,0,77,77,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,95,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_buildable_piece_add,,loaded,zmb\buildable\add\zmb_build_add_piece.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,45,0,85,85,150,300,750,allon,default,allon,default,3,oldest,8,oldest,-20,20,65,70,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_craftable_buy_shield,,loaded,mpl\riot_shield\disable\riot_shield_disable_fall.wav,,,,,,,,BUS_FX,grp_set_piece,snp_special,,25,0,58,58,150,750,950,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,74,100,99,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_craftable_complete,,loaded,zmb\buildable\complete\zmb_build_completed.wav,,,,,,,,BUS_FX,grp_set_piece,snp_special,,25,0,58,58,150,750,950,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,74,100,99,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_craftable_loop,,loaded,zmb\buildable\loop\zmb_building_lp.wav,,,,,,,,BUS_FX,grp_set_piece,snp_special,,25,0,52,52,150,750,950,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,looping,,1,0,74,100,99,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_craftable_pickup,,loaded,zmb\buildable\add\zmb_build_add_piece.wav,,,,,,,,BUS_FX,grp_set_piece,snp_special,,25,0,58,58,150,750,950,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,74,100,99,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
