Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#ShrinkRay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_shrinkray_fins,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\reload\wpn_shrink_fins.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,65,65,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,70,70,0.25,1,no,2d,center,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_blast,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\plr\wpn_shrink_plr_quad.wav,,,,,wpn_shrinkray_fire_lfe,,,BUS_FX,grp_weapon,snp_wpn_1p_act,,65,0,84,84,0,10000,10000,allon,default,allon,default,8,priority,1,oldest,0,0,90,90,0.25,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_flux_l,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\plr\wpn_shrink_plr_flux_l.wav,,,,,wpn_shrinkray_fire_flux_r,,,BUS_FX,grp_explosion,snp_grenade,,40,0,80,80,200,2500,2500,allon,default,allon,default,2,priority,2,oldest,0,0,30,40,0.25,1,no,3d,default,,nonlooping,,1,150,0,0,0,0.25,no,yes,left_player,2500,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_flux_r,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\plr\wpn_shrink_plr_flux_r.wav,,,,,,,,BUS_FX,grp_explosion,snp_grenade,,40,0,80,80,200,2500,2500,allon,default,allon,default,2,priority,2,oldest,0,0,30,40,0.25,1,no,3d,default,,nonlooping,,1,175,0,0,0,0.25,no,no,right_player,2500,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_flux_upgr_l,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\plr\wpn_shrink_plr_flux_upgr_l.wav,,,,,wpn_shrinkray_fire_flux_upgr_r,,,BUS_FX,grp_explosion,snp_grenade,,40,0,80,80,200,2500,2500,allon,default,allon,default,2,priority,2,oldest,0,0,30,40,0.25,1,no,3d,default,,nonlooping,,1,150,0,0,0,0.25,no,yes,left_player,2500,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_flux_upgr_r,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\plr\wpn_shrink_plr_flux_upgr_r.wav,,,,,,,,BUS_FX,grp_explosion,snp_grenade,,40,0,80,80,200,2500,2500,allon,default,allon,default,2,priority,2,oldest,0,0,30,40,0.25,1,no,3d,default,,nonlooping,,1,175,0,0,0,0.25,no,no,right_player,2500,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_lfe,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\plr\wpn_shrink_plr_lfe.wav,,,,,wpn_shrinkray_fire_flux_l,,,BUS_HDRFX,grp_wpn_lfe,snp_wpn_1p_act,,0,0,95,95,0,10000,10000,allon,default,allon,default,8,priority,1,oldest,0,0,90,90,0.25,1,no,2d,lfe,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_npc,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\npc\wpn_shrink_npc_shot.wav,,,,,wpn_shrinkray_npc_fire_flux_l,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,65,0,77,77,800,6000,6000,defaultmin,default,alloff,rcurve3,8,priority,3,oldest,0,0,40,90,0.25,0.8,no,3d,default,,nonlooping,,1,0,1500,12000,0,0.5,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,2500,4000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_npc_last,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\npc\wpn_shrink_npc_shot.wav,,,,,wpn_shrinkray_npc_fire_flux_l,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,65,0,77,77,800,6000,6000,defaultmin,default,alloff,rcurve3,8,priority,3,oldest,0,0,40,90,0.25,0.8,no,3d,default,,nonlooping,,1,0,1500,12000,0,0.5,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,2500,4000,,no,no,no,no,no,no,no,,,,
wpn_shrinkray_fire_plr,,loaded,zmb\zmb_blops\raven\wpn\shrinkray\plr\wpn_shrink_plr_f.wav,,,,,wpn_shrinkray_fire_blast,,,BUS_FX,grp_weapon,snp_wpn_1p_shot,,65,0,89,89,0,10000,10000,allon,default,allon,default,8,priority,3,oldest,0,0,90,90,0.25,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
