Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#ELECTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_trap_deny,,loaded,zmb\zmb_waw\evt\zombie_global\purchase\deny\deny_00.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,93,95,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_trap_ready,,loaded,zmb\level\zm_factory\trap\available.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,60,85,64,64,300,1400,2500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,100,200,92,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
#zapper_switch,,loaded,zmb\trap\electrical\switch\flip_00.wav,,,evt_event_3d_mod,,amb_sparks_r,,,bus_fx,grp_scripted_moment,snp_foley,,,,90,95,0,200,201,defaultmin,default,defaultmin,default,5,reject,,,1,1,,,,,,3d,default,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfx_fire_med,,loaded,pfx\fire\large\fire_large_01.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,30,0,77,79,250,1300,1450,allon,default,allon,default,8,priority,2,reject,-150,150,50,60,0,1,no,3d,default,,looping,,1,0,0,0,0,0.6,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_switch_flip_trap,,loaded,zmb\trap\electrical\switch\flip_00.wav,,,,,evt_switch_flip_trap_spark_l,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,73,73,250,900,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_switch_flip_trap_spark_l,,loaded,zmb\trap\electrical\switch\sparks\amb_sparks_l.wav,,,,,evt_switch_flip_trap_spark_r,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,70,70,250,900,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,left_player,4000,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_switch_flip_trap_spark_r,,loaded,zmb\trap\electrical\switch\sparks\amb_sparks_r.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,70,70,250,900,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,right_player,4000,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_zmb_electrap_zap,,loaded,zmb\level\zm_factory\waw_zmb\evt\pole_spark\pole_spark_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,10,0,73,73,100,600,650,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_zmb_electrap_zap,,loaded,zmb\level\zm_factory\waw_zmb\evt\pole_spark\pole_spark_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,10,0,73,73,100,600,650,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_zmb_electrap_zap,,loaded,zmb\level\zm_factory\waw_zmb\evt\pole_spark\pole_spark_02.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,10,0,73,73,100,600,650,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
