Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber

#zmb_vocals_brutus_ambience taunting
 
#zmb_ai_brutus_clang box kill
#zmb_ai_brutus_window_teardown

#4s
wpn_brutus_grenade,,loaded,zmb\level\zm_alcatraz\brutus\gas_drop\brutus_canister.wav,,,,,,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,60,0,85,85,100,800,900,defaultmin,default,alloff,rcurve3,8,priority,3,oldest,0,0,40,90,0.25,0.8,no,3d,default,,nonlooping,,1,0,1500,12000,0,0.5,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1500,6000,,no,no,no,no,no,no,no,,,,

zmb_ai_brutus_gas_tear_1,,loaded,zmb\level\zm_alcatraz\brutus\gas_drop\brutus_gas_tear_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,87,87,500,500,600,allon,default,allon,default,8,priority,8,oldest,0,0,75,95,0.25,1,no,3d,default,,nonlooping,,1,0,50,250,10,0.1,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,,,,no,no,no,no,no,no,no,,,,
zmb_ai_brutus_gas_tear_2,,loaded,zmb\level\zm_alcatraz\brutus\gas_drop\brutus_gas_tear_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,87,87,500,500,600,allon,default,allon,default,8,priority,8,oldest,0,0,75,95,0.25,1,no,3d,default,,nonlooping,,1,0,50,250,10,0.1,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,,,,no,no,no,no,no,no,no,,,,

zmb_ai_brutus_gas_drop_1,,loaded,zmb\level\zm_alcatraz\brutus\gas_drop\brutus_gas_drop_02.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,87,87,500,1000,1500,allon,default,allon,default,8,priority,8,oldest,0,0,75,95,0.25,1,no,3d,default,,nonlooping,,1,0,50,250,10,0.1,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,,,,no,no,no,no,no,no,no,,,,
zmb_ai_brutus_gas_drop_2,,loaded,zmb\level\zm_alcatraz\brutus\gas_drop\brutus_gas_drop_03.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,87,87,500,1000,1500,allon,default,allon,default,8,priority,8,oldest,0,0,75,95,0.25,1,no,3d,default,,nonlooping,,1,0,50,250,10,0.1,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,,,,no,no,no,no,no,no,no,,,,


evt_brutus_helmet,,loaded,zmb\level\zm_alcatraz\brutus\brutus_helmet.wav,,,,,evt_brutus_helmet_flux_l,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,87,87,500,2000,3000,allon,default,allon,default,8,priority,8,oldest,0,0,75,95,0.25,1,no,3d,default,,nonlooping,,1,0,50,250,10,0.1,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,,,,no,no,no,no,no,no,no,,,,
